new,trove_match,method,bundle
FDA-CBER-2021-5683-1200875–1203435_Slipsheet.docx,FDA-CBER-2021-5683-1200875–1203435_Slipsheet.pdf,same-bates diff-ext,6._Additional_Material.zip
FDA-CBER-2021-5683-1773308-1773320_Slipsheet.docx,FDA-CBER-2021-5683-1773308-1773320_Slipsheet.pdf,same-bates diff-ext,6._Additional_Material.zip
FDA-CBER-2022-5812-0219000-0219015_125742-45_S211_M5_c4591001-A_1mth-c4591001-subject-list-for-12-25-immuno-analysis-27jan2021.xls,FDA-CBER-2022-5812-0219000-0219015_125742-45_S211_M5_c4591001-A_1mth-c4591001-subject-list-for-12-25-immuno.zip,same-bates diff-ext,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip
FDA-CBER-2022-5812-0219019-0219034_125742-45_S211_M5_c4591001-A_6mth-c4591001-subject-list-for-12-25-immuno-analysis-27jan2021.xlsx,FDA-CBER-2022-5812-0219019-0219034_125742-45_S211_M5_c4591001-A_6mth-c4591001-subject-list-for-12-25-immuno.zip,same-bates diff-ext,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip
FDA-CBER-2022-5812-0219036-0219055_125742-45_S211_M5_c4591001-A_6mth-first-c4591001-360-participants-enrolled-v1-13aug20-update.xlsx,FDA-CBER-2022-5812-0219036-0219055_125742-45_S211_M5_c4591001-A_6mth-first-c4591001-360-participants-enrolled.zip,same-bates diff-ext,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip
FDA-CBER-2022-5812-0219056-0219220_125742-45_S211_M5_c4591001-A_6mth-newlist-c4591001-6k-participants-enrolled-v3-17sep2020.xlsx,FDA-CBER-2022-5812-0219056-0219220_125742-45_S211_M5_c4591001-A_6mth-newlist-c4591001-6k-participants-enrolled.zip,same-bates diff-ext,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip
