new,trove_match,method,bundle
FDA-CBER-2022-1614-3818765-3818771_125752_S3_M5_mrna-1273-p201-add1_A_P_modmrna1273p201-ia-ae-defaults.txt,FDA-CBER-2022-1614-3818765-3818771_125752_S3_M5_mrna-1273-p201-add1_A_P_mo.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818772-3818792_125752_S3_M5_mrna-1273-p201-add1_A_P_modmrna1273p201-ia-defaults.txt,FDA-CBER-2022-1614-3818772-3818792_125752_S3_M5_mrna-1273-p201-add1_A_P_mo.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818793-3818817_125752_S3_M5_mrna-1273-p201-add1_A_P_t140201011201.txt,FDA-CBER-2022-1614-3818793-3818817_125752_S3_M5_mrna-1273-p201-add1_A_P_t1.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818818_125752_S3_M5_mrna-1273-p201-add1_A_P_t140202010102.txt,FDA-CBER-2022-1614-3818818_125752_S3_M5_mrna-1273-p201-add1_A_P_t140202010.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818820-3818825_125752_S3_M5_mrna-1273-p201-add1_A_P_tmaeunsteae.txt,FDA-CBER-2022-1614-3818820-3818825_125752_S3_M5_mrna-1273-p201-add1_A_P_tm.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818826-3818851_125752_S3_M5_mrna-1273-p201-add1_A_P_tmimmsummneut.txt,FDA-CBER-2022-1614-3818826-3818851_125752_S3_M5_mrna-1273-p201-add1_A_P_tm.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3818965-3819059_125752_S3_M5_mrna-1273-p201-add1_S_define1-0-0.xsl,FDA-CBER-2022-1614-3818965-3819059_125752_S3_M5_mrna-1273-p201-add1_S_defi.xsl,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3819109-3819203_125752_S3_M5_mrna-1273-p201-d57_A_D_define2-0-0.xsl,FDA-CBER-2022-1614-3819109-3819203_125752_S3_M5_mrna-1273-p201-d57_A_D_def.xsl,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3819212-3819221_125752_S3_M5_mrna-1273-p201-d57_A_P_a10adsl.txt,FDA-CBER-2022-1614-3819212-3819221_125752_S3_M5_mrna-1273-p201-d57_A_P_a10.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
FDA-CBER-2022-1614-3819222-3819230_125752_S3_M5_mrna-1273-p201-d57_A_P_a20adae.txt,FDA-CBER-2022-1614-3819222-3819230_125752_S3_M5_mrna-1273-p201-d57_A_P_a20.txt,bates+trunc,B._BLA_Module_5_Data_File_Material.zip
